global_step,epoch,lr,train_loss,val_loss
270,0,0.0002999907836943435,1.98583865,
271,0,0.0002999905184932401,1.89395905,
272,0,0.00029999024953057836,1.89447188,
273,0,0.00029998997680636536,1.90570664,
274,0,0.00029998970032060773,1.84281468,
275,0,0.0002999894200733125,1.94838357,
276,0,0.00029998913606448673,1.91087937,
277,0,0.0002999888482941374,1.82711983,
278,0,0.0002999885567622719,1.86171055,
279,0,0.0002999882614688974,1.84961414,
280,0,0.00029998796241402135,1.83940578,
281,0,0.00029998765959765133,1.88085985,
282,0,0.0002999873530197948,1.82633293,
283,0,0.0002999870426804595,1.83136892,
284,0,0.0002999867285796533,1.77987409,
285,0,0.000299986410717384,1.74043071,
286,0,0.0002999860890936595,1.67460251,
287,0,0.000299985763708488,1.78473353,
288,0,0.00029998543456187754,1.80988240,
289,0,0.0002999851016538365,1.73176241,
290,0,0.00029998476498437315,1.77234793,
291,0,0.000299984424553496,1.81849670,
292,0,0.00029998408036121344,1.74363780,
293,0,0.00029998373240753423,1.80601239,
294,0,0.00029998338069246706,1.81430387,
295,0,0.00029998302521602076,1.66772950,
296,0,0.00029998266597820424,1.71976030,
297,0,0.00029998230297902654,1.74538946,
298,0,0.00029998193621849666,1.75241399,
299,0,0.00029998156569662393,1.73806250,
300,0,0.00029998119141341756,1.66558099,
301,0,0.00029998081336888693,1.65464604,
302,0,0.00029998043156304163,1.70085418,
303,0,0.0002999800459958911,1.69911408,
304,0,0.00029997965666744505,1.67128897,
305,0,0.0002999792635777133,1.58881569,
306,0,0.00029997886672670566,1.71313405,
307,0,0.0002999784661144321,1.65184402,
308,0,0.0002999780617409026,1.62572348,
309,0,0.0002999776536061274,1.63797545,
310,0,0.0002999772417101167,1.67886639,
311,0,0.0002999768260528808,1.67055035,
312,0,0.0002999764066344301,1.68124843,
313,0,0.0002999759834547752,1.66424155,
314,0,0.0002999755565139267,1.67619157,
315,0,0.00029997512581189526,1.65985811,
316,0,0.0002999746913486917,1.65151715,
317,0,0.00029997425312432694,1.56977355,
318,0,0.00029997381113881197,1.55592644,
319,0,0.00029997336539215786,1.54208601,
320,0,0.00029997291588437574,1.61309874,
321,0,0.0002999724626154769,1.62633443,
322,0,0.00029997200558547286,1.59239316,
